8624620120302,99,9909,104538848,15343,16.0,OZ,1,2.49
8624620120302,58,5824,108674585,55172,16.0,OZ,1,3.29
8624620120306,72,7205,103500030,3830,4.6,OZ,1,3.99
8624620120307,55,5558,104154848,5603,5.8,OZ,1,1.25
8624620120314,58,5824,1076401474,304,12.0,OZ,1,4.99
8624620120317,99,9909,107127979,6732,7.0,OZ,2,8.38
8624620120318,99,9909,107143070,5072,22.0,OZ,1,2.59
8624620120318,35,3509,109451494,20153,75.0,OZ,2,6.78
8624620120319,35,3509,1088596787,5428,50.0,OZ,1,2.99
8624620120319,35,3504,103700030,4628,19.0,OZ,1,1.99
8624620120319,35,3509,109451494,20153,75.0,OZ,1,3.39
8624620120321,99,9909,107143070,5072,22.0,OZ,1,2.59
8624620120321,99,9909,107127979,6732,10.0,OZ,1,3.69
8624620120324,35,3504,107261373,17576,25.0,OZ,1,1.0
8624620120325,99,9909,107127979,6732,9.8,OZ,1,3.99
8624620120325,51,5122,107142171,14012,5.5,OZ,1,1.25
8624620120325,55,5558,107255474,35506,36.8,OZ,1,6.49
8624620120331,35,3509,103320030,875,50.0,OZ,1,5.89
8624620120401,35,3504,104815545,14363,25.0,OZ,1,1.0
8624620120401,32,3203,104815545,8105,5.0,OZ,1,1.0
8624620120402,32,3203,101116616,15266,6.0,OZ,1,3.09
8624620120402,35,3504,104815545,14363,25.0,OZ,1,1.0
8624620120402,35,3509,104116343,8435,50.0,OZ,1,4.59
8624620120404,99,9909,107127979,6732,7.0,OZ,1,4.19
8624620120407,32,3203,106414464,13474,5.0,OZ,1,3.69
8624620120407,35,3504,103500030,13470,20.0,OZ,1,3.19
8624620120409,35,3504,104113040,28204,25.0,OZ,1,0.99
8624620120412,35,3509,109451494,20153,75.0,OZ,1,3.39
8624620120414,99,9909,107127979,6732,10.0,OZ,1,3.69
8624620120416,35,3509,103320030,875,50.0,OZ,1,5.89
8624620120428,58,5824,107754171,17301,16.0,OZ,1,2.99
8624620120428,35,3504,104113040,28204,25.0,OZ,1,0.99
8624620120429,35,3509,103320030,875,50.0,OZ,2,11.78
8624620120429,35,3504,104815545,14363,25.0,OZ,1,1.0
8624620120429,72,7205,103320030,25445,7.2,OZ,1,1.0
8624620120430,99,9909,104538848,15343,16.0,OZ,2,4.98
8624620120503,99,9909,104538848,15343,16.0,OZ,1,2.49
8624620120503,35,3509,109451494,20153,75.0,OZ,1,3.39
8624620120506,56,5616,101116616,15266,8.0,OZ,1,2.6
8624620120514,35,3509,107261373,401,50.0,OZ,1,6.59
8624620120514,99,9909,107127979,6732,6.0,OZ,1,4.19
8624620120514,55,5558,104100040,7459,18.0,OZ,1,4.69
8624620120515,35,3509,109451494,20153,75.0,OZ,1,3.39
8624620120521,58,5824,107367575,3012,16.0,OZ,1,1.5
8624620120527,56,5619,102100020,19279,8.0,OZ,1,2.99
8624620120528,58,5824,107590070,2073,19.0,OZ,2,9.98
8624620120528,51,5122,107750777,97998,2.25,OZ,1,1.0
8624620120601,45,4517,102032323,6422,64.0,OZ,1,8.99
8624620120601,58,5824,101590010,1366,40.0,OZ,1,5.99
8624620120601,58,5824,107590070,2073,19.0,OZ,1,4.99
8624620120603,56,5616,101116616,15266,8.0,OZ,1,3.19
8624620120610,55,5558,104113040,84481,18.4,OZ,1,2.69
8624620120617,45,4517,102032323,6422,64.0,OZ,1,8.99
8624620120617,58,5824,102781525,5557,13.0,OZ,1,2.0
8624620120617,56,5616,107592575,4368,8.0,OZ,1,3.49
8624620120618,56,5616,101116616,15266,8.0,OZ,2,6.38
8624620120622,32,3203,1076172070,11358,5.0,OZ,1,2.49
8624620120623,58,5824,102781525,5557,14.0,OZ,1,2.0
8624620120624,55,5558,104113040,84481,36.8,OZ,1,5.29
8624620120628,99,9909,107127979,6732,12.0,OZ,1,1.99
8624620120628,58,5824,102781525,5557,13.0,OZ,1,2.5
8624620120628,58,5824,102781525,5557,14.0,OZ,1,2.0
8624620120630,56,5616,101116616,15266,8.0,OZ,2,6.38
8624620120630,99,9909,107127979,6732,9.0,OZ,2,4.78
8624620120630,56,5616,104610040,15889,7.0,OZ,1,4.69
8624620120701,21,2119,108390080,7368,18.5,OZ,1,1.25
8624620120702,72,7205,103700030,4294,4.6,OZ,1,3.59
8624620120704,99,9909,107127979,6732,10.0,OZ,1,3.69
8624620120708,56,5616,104610040,15889,7.0,OZ,1,4.69
8624620120708,56,5616,101116616,15266,8.0,OZ,1,2.99
8624620120708,55,5558,107255474,35506,27.0,OZ,1,6.49
8624620120709,21,2119,101200010,10522,33.8,OZ,1,0.99
8624620120710,99,9909,107127979,6732,9.8,OZ,2,7.98
8624620120710,56,5616,101116616,15266,8.0,OZ,1,2.99
8624620120710,56,5616,107592575,4368,8.0,OZ,1,3.49
8624620120711,99,9909,104116343,28254,18.0,OZ,1,1.98
8624620120711,58,5824,107590070,2073,19.0,OZ,2,9.98
8624620120715,58,5824,107590070,2073,19.0,OZ,1,4.99
